phase,image,folder,filename,num_candidates,mean_readiness,max_readiness
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095743_0311_D.JPG,Part_one_pre_def_rgb,DJI_20250929095743_0311_D.JPG,100,0.5736,0.6824
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095745_0312_D.JPG,Part_one_pre_def_rgb,DJI_20250929095745_0312_D.JPG,100,0.595,0.7843
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095747_0313_D.JPG,Part_one_pre_def_rgb,DJI_20250929095747_0313_D.JPG,100,0.5801,0.7215
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095749_0314_D.JPG,Part_one_pre_def_rgb,DJI_20250929095749_0314_D.JPG,100,0.5887,0.7202
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095751_0315_D.JPG,Part_one_pre_def_rgb,DJI_20250929095751_0315_D.JPG,100,0.5664,0.766
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095753_0316_D.JPG,Part_one_pre_def_rgb,DJI_20250929095753_0316_D.JPG,100,0.5881,0.7392
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095755_0317_D.JPG,Part_one_pre_def_rgb,DJI_20250929095755_0317_D.JPG,100,0.5676,0.8265
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095757_0318_D.JPG,Part_one_pre_def_rgb,DJI_20250929095757_0318_D.JPG,100,0.5756,0.6964
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095759_0319_D.JPG,Part_one_pre_def_rgb,DJI_20250929095759_0319_D.JPG,100,0.5704,0.763
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095801_0320_D.JPG,Part_one_pre_def_rgb,DJI_20250929095801_0320_D.JPG,100,0.5956,0.7172
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095803_0321_D.JPG,Part_one_pre_def_rgb,DJI_20250929095803_0321_D.JPG,100,0.5704,0.7232
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095805_0322_D.JPG,Part_one_pre_def_rgb,DJI_20250929095805_0322_D.JPG,100,0.5645,0.7925
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095807_0323_D.JPG,Part_one_pre_def_rgb,DJI_20250929095807_0323_D.JPG,100,0.5738,0.7202
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095809_0324_D.JPG,Part_one_pre_def_rgb,DJI_20250929095809_0324_D.JPG,100,0.5604,0.684
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095811_0325_D.JPG,Part_one_pre_def_rgb,DJI_20250929095811_0325_D.JPG,100,0.5671,0.7013
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095813_0326_D.JPG,Part_one_pre_def_rgb,DJI_20250929095813_0326_D.JPG,100,0.5741,0.8007
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095815_0327_D.JPG,Part_one_pre_def_rgb,DJI_20250929095815_0327_D.JPG,100,0.5763,0.7472
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095817_0328_D.JPG,Part_one_pre_def_rgb,DJI_20250929095817_0328_D.JPG,100,0.5822,0.8174
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095819_0329_D.JPG,Part_one_pre_def_rgb,DJI_20250929095819_0329_D.JPG,100,0.5891,0.7741
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095821_0330_D.JPG,Part_one_pre_def_rgb,DJI_20250929095821_0330_D.JPG,100,0.5841,0.7308
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095823_0331_D.JPG,Part_one_pre_def_rgb,DJI_20250929095823_0331_D.JPG,100,0.5875,0.7408
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095825_0332_D.JPG,Part_one_pre_def_rgb,DJI_20250929095825_0332_D.JPG,100,0.5811,0.7155
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095827_0333_D.JPG,Part_one_pre_def_rgb,DJI_20250929095827_0333_D.JPG,100,0.5873,0.7666
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095829_0334_D.JPG,Part_one_pre_def_rgb,DJI_20250929095829_0334_D.JPG,100,0.5765,0.7973
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095831_0335_D.JPG,Part_one_pre_def_rgb,DJI_20250929095831_0335_D.JPG,100,0.5898,0.7266
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095833_0336_D.JPG,Part_one_pre_def_rgb,DJI_20250929095833_0336_D.JPG,100,0.5818,0.7375
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095835_0337_D.JPG,Part_one_pre_def_rgb,DJI_20250929095835_0337_D.JPG,100,0.5812,0.7499
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095837_0338_D.JPG,Part_one_pre_def_rgb,DJI_20250929095837_0338_D.JPG,100,0.5778,0.7409
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095839_0339_D.JPG,Part_one_pre_def_rgb,DJI_20250929095839_0339_D.JPG,100,0.5827,0.766
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095841_0340_D.JPG,Part_one_pre_def_rgb,DJI_20250929095841_0340_D.JPG,100,0.5722,0.7191
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095843_0341_D.JPG,Part_one_pre_def_rgb,DJI_20250929095843_0341_D.JPG,100,0.5909,0.755
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095845_0342_D.JPG,Part_one_pre_def_rgb,DJI_20250929095845_0342_D.JPG,100,0.5919,0.7366
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095847_0343_D.JPG,Part_one_pre_def_rgb,DJI_20250929095847_0343_D.JPG,100,0.6039,0.7381
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095849_0344_D.JPG,Part_one_pre_def_rgb,DJI_20250929095849_0344_D.JPG,100,0.5929,0.7528
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095851_0345_D.JPG,Part_one_pre_def_rgb,DJI_20250929095851_0345_D.JPG,100,0.6239,0.7843
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095853_0346_D.JPG,Part_one_pre_def_rgb,DJI_20250929095853_0346_D.JPG,100,0.6079,0.786
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095855_0347_D.JPG,Part_one_pre_def_rgb,DJI_20250929095855_0347_D.JPG,100,0.6022,0.7555
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095857_0348_D.JPG,Part_one_pre_def_rgb,DJI_20250929095857_0348_D.JPG,100,0.5901,0.79
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095859_0349_D.JPG,Part_one_pre_def_rgb,DJI_20250929095859_0349_D.JPG,100,0.5939,0.6961
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095901_0350_D.JPG,Part_one_pre_def_rgb,DJI_20250929095901_0350_D.JPG,100,0.5864,0.7312
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095903_0351_D.JPG,Part_one_pre_def_rgb,DJI_20250929095903_0351_D.JPG,100,0.6015,0.8304
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095905_0352_D.JPG,Part_one_pre_def_rgb,DJI_20250929095905_0352_D.JPG,100,0.5808,0.7302
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095907_0353_D.JPG,Part_one_pre_def_rgb,DJI_20250929095907_0353_D.JPG,100,0.5961,0.758
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095909_0354_D.JPG,Part_one_pre_def_rgb,DJI_20250929095909_0354_D.JPG,100,0.5871,0.8291
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095911_0355_D.JPG,Part_one_pre_def_rgb,DJI_20250929095911_0355_D.JPG,100,0.5899,0.795
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095913_0356_D.JPG,Part_one_pre_def_rgb,DJI_20250929095913_0356_D.JPG,100,0.58,0.7055
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095915_0357_D.JPG,Part_one_pre_def_rgb,DJI_20250929095915_0357_D.JPG,100,0.5826,0.7777
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095917_0358_D.JPG,Part_one_pre_def_rgb,DJI_20250929095917_0358_D.JPG,100,0.5752,0.6872
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095919_0359_D.JPG,Part_one_pre_def_rgb,DJI_20250929095919_0359_D.JPG,100,0.5727,0.7222
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095921_0360_D.JPG,Part_one_pre_def_rgb,DJI_20250929095921_0360_D.JPG,100,0.5712,0.6865
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095923_0361_D.JPG,Part_one_pre_def_rgb,DJI_20250929095923_0361_D.JPG,100,0.5805,0.7232
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095925_0362_D.JPG,Part_one_pre_def_rgb,DJI_20250929095925_0362_D.JPG,100,0.5804,0.7119
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095927_0363_D.JPG,Part_one_pre_def_rgb,DJI_20250929095927_0363_D.JPG,100,0.5774,0.7421
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095929_0364_D.JPG,Part_one_pre_def_rgb,DJI_20250929095929_0364_D.JPG,100,0.5773,0.7927
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095931_0365_D.JPG,Part_one_pre_def_rgb,DJI_20250929095931_0365_D.JPG,100,0.5783,0.7033
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095933_0366_D.JPG,Part_one_pre_def_rgb,DJI_20250929095933_0366_D.JPG,100,0.5761,0.7068
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095935_0367_D.JPG,Part_one_pre_def_rgb,DJI_20250929095935_0367_D.JPG,100,0.5765,0.7243
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095937_0368_D.JPG,Part_one_pre_def_rgb,DJI_20250929095937_0368_D.JPG,100,0.584,0.7043
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095939_0369_D.JPG,Part_one_pre_def_rgb,DJI_20250929095939_0369_D.JPG,100,0.5787,0.6822
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095941_0370_D.JPG,Part_one_pre_def_rgb,DJI_20250929095941_0370_D.JPG,100,0.585,0.8766
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095943_0371_D.JPG,Part_one_pre_def_rgb,DJI_20250929095943_0371_D.JPG,100,0.5889,0.7148
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095945_0372_D.JPG,Part_one_pre_def_rgb,DJI_20250929095945_0372_D.JPG,100,0.6006,0.7515
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095947_0373_D.JPG,Part_one_pre_def_rgb,DJI_20250929095947_0373_D.JPG,100,0.6143,0.7381
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095949_0374_D.JPG,Part_one_pre_def_rgb,DJI_20250929095949_0374_D.JPG,100,0.6002,0.7408
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095951_0375_D.JPG,Part_one_pre_def_rgb,DJI_20250929095951_0375_D.JPG,100,0.5991,0.7677
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095953_0376_D.JPG,Part_one_pre_def_rgb,DJI_20250929095953_0376_D.JPG,100,0.5987,0.8299
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095955_0377_D.JPG,Part_one_pre_def_rgb,DJI_20250929095955_0377_D.JPG,100,0.588,0.7347
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095957_0378_D.JPG,Part_one_pre_def_rgb,DJI_20250929095957_0378_D.JPG,100,0.5996,0.7488
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095959_0379_D.JPG,Part_one_pre_def_rgb,DJI_20250929095959_0379_D.JPG,100,0.5769,0.7348
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100001_0380_D.JPG,Part_one_pre_def_rgb,DJI_20250929100001_0380_D.JPG,100,0.6065,0.8041
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100003_0381_D.JPG,Part_one_pre_def_rgb,DJI_20250929100003_0381_D.JPG,100,0.5927,0.7488
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100005_0382_D.JPG,Part_one_pre_def_rgb,DJI_20250929100005_0382_D.JPG,100,0.5879,0.7124
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100007_0383_D.JPG,Part_one_pre_def_rgb,DJI_20250929100007_0383_D.JPG,100,0.5938,0.743
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100009_0384_D.JPG,Part_one_pre_def_rgb,DJI_20250929100009_0384_D.JPG,100,0.5873,0.7103
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100011_0385_D.JPG,Part_one_pre_def_rgb,DJI_20250929100011_0385_D.JPG,100,0.5646,0.6789
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100013_0386_D.JPG,Part_one_pre_def_rgb,DJI_20250929100013_0386_D.JPG,100,0.5673,0.7075
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100015_0387_D.JPG,Part_one_pre_def_rgb,DJI_20250929100015_0387_D.JPG,100,0.5686,0.6931
