phase,image,folder,filename,num_candidates,mean_readiness,max_readiness
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100017_0388_D.JPG,Part_one_pre_def_rgb,DJI_20250929100017_0388_D.JPG,100,0.5686,0.7232
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100019_0389_D.JPG,Part_one_pre_def_rgb,DJI_20250929100019_0389_D.JPG,100,0.5746,0.748
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100021_0390_D.JPG,Part_one_pre_def_rgb,DJI_20250929100021_0390_D.JPG,100,0.5716,0.6696
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124505_0127_D.JPG,205_Post_Def_rgb,DJI_20250929124505_0127_D.JPG,100,0.6364,0.7378
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124507_0128_D.JPG,205_Post_Def_rgb,DJI_20250929124507_0128_D.JPG,100,0.66,0.7997
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124509_0129_D.JPG,205_Post_Def_rgb,DJI_20250929124509_0129_D.JPG,100,0.6464,0.7813
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124511_0130_D.JPG,205_Post_Def_rgb,DJI_20250929124511_0130_D.JPG,100,0.654,0.7905
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124513_0131_D.JPG,205_Post_Def_rgb,DJI_20250929124513_0131_D.JPG,100,0.637,0.715
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124515_0132_D.JPG,205_Post_Def_rgb,DJI_20250929124515_0132_D.JPG,100,0.6392,0.7251
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124517_0133_D.JPG,205_Post_Def_rgb,DJI_20250929124517_0133_D.JPG,100,0.6502,0.7773
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124519_0134_D.JPG,205_Post_Def_rgb,DJI_20250929124519_0134_D.JPG,100,0.664,0.8373
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124521_0135_D.JPG,205_Post_Def_rgb,DJI_20250929124521_0135_D.JPG,100,0.6402,0.7737
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124523_0136_D.JPG,205_Post_Def_rgb,DJI_20250929124523_0136_D.JPG,100,0.6596,0.8221
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124525_0137_D.JPG,205_Post_Def_rgb,DJI_20250929124525_0137_D.JPG,100,0.6474,0.7663
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124527_0138_D.JPG,205_Post_Def_rgb,DJI_20250929124527_0138_D.JPG,100,0.6625,0.8012
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124529_0139_D.JPG,205_Post_Def_rgb,DJI_20250929124529_0139_D.JPG,100,0.6386,0.7502
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124531_0140_D.JPG,205_Post_Def_rgb,DJI_20250929124531_0140_D.JPG,100,0.6338,0.7556
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124533_0141_D.JPG,205_Post_Def_rgb,DJI_20250929124533_0141_D.JPG,100,0.6326,0.7524
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124535_0142_D.JPG,205_Post_Def_rgb,DJI_20250929124535_0142_D.JPG,100,0.6267,0.7309
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124537_0143_D.JPG,205_Post_Def_rgb,DJI_20250929124537_0143_D.JPG,100,0.6236,0.7232
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124539_0144_D.JPG,205_Post_Def_rgb,DJI_20250929124539_0144_D.JPG,100,0.6367,0.7938
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124541_0145_D.JPG,205_Post_Def_rgb,DJI_20250929124541_0145_D.JPG,100,0.6294,0.7456
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124543_0146_D.JPG,205_Post_Def_rgb,DJI_20250929124543_0146_D.JPG,100,0.6346,0.7588
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124545_0147_D.JPG,205_Post_Def_rgb,DJI_20250929124545_0147_D.JPG,100,0.6283,0.759
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124547_0148_D.JPG,205_Post_Def_rgb,DJI_20250929124547_0148_D.JPG,100,0.6322,0.7267
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124549_0149_D.JPG,205_Post_Def_rgb,DJI_20250929124549_0149_D.JPG,100,0.6346,0.7464
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124551_0150_D.JPG,205_Post_Def_rgb,DJI_20250929124551_0150_D.JPG,100,0.631,0.6987
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124553_0151_D.JPG,205_Post_Def_rgb,DJI_20250929124553_0151_D.JPG,100,0.6412,0.7476
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124555_0152_D.JPG,205_Post_Def_rgb,DJI_20250929124555_0152_D.JPG,100,0.6399,0.7377
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124557_0153_D.JPG,205_Post_Def_rgb,DJI_20250929124557_0153_D.JPG,100,0.6402,0.7845
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124559_0154_D.JPG,205_Post_Def_rgb,DJI_20250929124559_0154_D.JPG,100,0.6345,0.7628
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124601_0155_D.JPG,205_Post_Def_rgb,DJI_20250929124601_0155_D.JPG,100,0.6343,0.7785
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124603_0156_D.JPG,205_Post_Def_rgb,DJI_20250929124603_0156_D.JPG,100,0.6302,0.7506
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124605_0157_D.JPG,205_Post_Def_rgb,DJI_20250929124605_0157_D.JPG,100,0.63,0.7498
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124607_0158_D.JPG,205_Post_Def_rgb,DJI_20250929124607_0158_D.JPG,100,0.6388,0.7641
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124609_0159_D.JPG,205_Post_Def_rgb,DJI_20250929124609_0159_D.JPG,100,0.6406,0.7598
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124611_0160_D.JPG,205_Post_Def_rgb,DJI_20250929124611_0160_D.JPG,100,0.6333,0.8036
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124613_0161_D.JPG,205_Post_Def_rgb,DJI_20250929124613_0161_D.JPG,100,0.6471,0.8084
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124615_0162_D.JPG,205_Post_Def_rgb,DJI_20250929124615_0162_D.JPG,100,0.6375,0.7428
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124617_0163_D.JPG,205_Post_Def_rgb,DJI_20250929124617_0163_D.JPG,100,0.6344,0.7459
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124619_0164_D.JPG,205_Post_Def_rgb,DJI_20250929124619_0164_D.JPG,100,0.63,0.7661
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124621_0165_D.JPG,205_Post_Def_rgb,DJI_20250929124621_0165_D.JPG,100,0.6357,0.8086
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124623_0166_D.JPG,205_Post_Def_rgb,DJI_20250929124623_0166_D.JPG,100,0.6294,0.8421
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124625_0167_D.JPG,205_Post_Def_rgb,DJI_20250929124625_0167_D.JPG,100,0.6371,0.7434
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124627_0168_D.JPG,205_Post_Def_rgb,DJI_20250929124627_0168_D.JPG,100,0.6402,0.7231
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124629_0169_D.JPG,205_Post_Def_rgb,DJI_20250929124629_0169_D.JPG,100,0.6412,0.7482
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124631_0170_D.JPG,205_Post_Def_rgb,DJI_20250929124631_0170_D.JPG,100,0.6353,0.7247
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124633_0171_D.JPG,205_Post_Def_rgb,DJI_20250929124633_0171_D.JPG,100,0.6362,0.7609
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124635_0172_D.JPG,205_Post_Def_rgb,DJI_20250929124635_0172_D.JPG,100,0.6344,0.7054
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124637_0173_D.JPG,205_Post_Def_rgb,DJI_20250929124637_0173_D.JPG,100,0.6391,0.7618
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124639_0174_D.JPG,205_Post_Def_rgb,DJI_20250929124639_0174_D.JPG,100,0.6382,0.7542
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124641_0175_D.JPG,205_Post_Def_rgb,DJI_20250929124641_0175_D.JPG,100,0.6424,0.7417
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124643_0176_D.JPG,205_Post_Def_rgb,DJI_20250929124643_0176_D.JPG,100,0.6453,0.7541
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124645_0177_D.JPG,205_Post_Def_rgb,DJI_20250929124645_0177_D.JPG,100,0.6583,0.7575
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124647_0178_D.JPG,205_Post_Def_rgb,DJI_20250929124647_0178_D.JPG,100,0.6443,0.7997
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124649_0179_D.JPG,205_Post_Def_rgb,DJI_20250929124649_0179_D.JPG,100,0.6495,0.7527
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124651_0180_D.JPG,205_Post_Def_rgb,DJI_20250929124651_0180_D.JPG,100,0.6371,0.7408
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124653_0181_D.JPG,205_Post_Def_rgb,DJI_20250929124653_0181_D.JPG,100,0.6375,0.7948
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124655_0182_D.JPG,205_Post_Def_rgb,DJI_20250929124655_0182_D.JPG,100,0.6348,0.7355
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124657_0183_D.JPG,205_Post_Def_rgb,DJI_20250929124657_0183_D.JPG,100,0.6374,0.7302
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124659_0184_D.JPG,205_Post_Def_rgb,DJI_20250929124659_0184_D.JPG,100,0.6311,0.7222
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124701_0185_D.JPG,205_Post_Def_rgb,DJI_20250929124701_0185_D.JPG,100,0.6329,0.757
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124703_0186_D.JPG,205_Post_Def_rgb,DJI_20250929124703_0186_D.JPG,100,0.6366,0.8086
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124705_0187_D.JPG,205_Post_Def_rgb,DJI_20250929124705_0187_D.JPG,100,0.63,0.7716
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124707_0188_D.JPG,205_Post_Def_rgb,DJI_20250929124707_0188_D.JPG,100,0.6232,0.7355
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124709_0189_D.JPG,205_Post_Def_rgb,DJI_20250929124709_0189_D.JPG,100,0.6292,0.7246
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124711_0190_D.JPG,205_Post_Def_rgb,DJI_20250929124711_0190_D.JPG,100,0.6243,0.726
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124713_0191_D.JPG,205_Post_Def_rgb,DJI_20250929124713_0191_D.JPG,100,0.6238,0.691
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124715_0192_D.JPG,205_Post_Def_rgb,DJI_20250929124715_0192_D.JPG,100,0.6199,0.7561
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124717_0193_D.JPG,205_Post_Def_rgb,DJI_20250929124717_0193_D.JPG,100,0.622,0.6973
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124719_0194_D.JPG,205_Post_Def_rgb,DJI_20250929124719_0194_D.JPG,100,0.6219,0.7087
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124721_0195_D.JPG,205_Post_Def_rgb,DJI_20250929124721_0195_D.JPG,100,0.6259,0.729
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124723_0196_D.JPG,205_Post_Def_rgb,DJI_20250929124723_0196_D.JPG,100,0.6312,0.725
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124725_0197_D.JPG,205_Post_Def_rgb,DJI_20250929124725_0197_D.JPG,100,0.6314,0.7601
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124727_0198_D.JPG,205_Post_Def_rgb,DJI_20250929124727_0198_D.JPG,100,0.6322,0.7595
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124729_0199_D.JPG,205_Post_Def_rgb,DJI_20250929124729_0199_D.JPG,100,0.6244,0.7493
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124731_0200_D.JPG,205_Post_Def_rgb,DJI_20250929124731_0200_D.JPG,100,0.6243,0.72
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124733_0201_D.JPG,205_Post_Def_rgb,DJI_20250929124733_0201_D.JPG,100,0.6238,0.709
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124735_0202_D.JPG,205_Post_Def_rgb,DJI_20250929124735_0202_D.JPG,100,0.6197,0.7182
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124737_0203_D.JPG,205_Post_Def_rgb,DJI_20250929124737_0203_D.JPG,100,0.6246,0.711
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124739_0204_D.JPG,205_Post_Def_rgb,DJI_20250929124739_0204_D.JPG,100,0.6274,0.7886
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124741_0205_D.JPG,205_Post_Def_rgb,DJI_20250929124741_0205_D.JPG,100,0.6191,0.7471
post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124743_0206_D.JPG,205_Post_Def_rgb,DJI_20250929124743_0206_D.JPG,100,0.6335,0.7371
